Num postal caption,Número de vehicles implicats,Nom barri,Coordenada UTM (Y),Número de lesionats greus,Número de lesionats lleus,Nom districte,Descripció tipus dia,NK barri,NK Any,Nom mes,Descripció torn,Nom carrer,Número de morts,Codi carrer,Número d'expedient,Descripció dia setmana,Número de víctimes,Coordenada UTM (X),Mes de any,Dia de setmana,Codi districte,Dia de mes,_id,Hora de dia,Descripció causa vianant
0044 0044,1,el Barri Gňtic,"4581221,77",0,1,Ciutat Vella,Laboral,12-1-2,2011,Desembre,Tarda,Rambla,0,34308,2011S008848,Dissabte,1,"431007,67",12,6,1,31,75,17,Creuar per fora pas de vianants
0056 0056,2,el Barri Gňtic,"4581286,22",0,1,Ciutat Vella,Laboral,12-1-2,2011,Desembre,Tarda,Rambla,0,34308,2011S008830,Divendres,1,"430967,79",12,5,1,30,76,20,Desconegut
0005 0005,1,el Barri Gňtic,"4581531,95",0,0,Ciutat Vella,Laboral,12-1-2,2011,Juny,Matí,Ciutat,0,80000,2011S004126,Dijous,0,"431254,17",6,4,1,16,77,12,Desconegut
001080000,3,el Barri Gňtic,"4580775,68",0,1,Ciutat Vella,Laboral,12-1-2,2011,Novembre,Tarda,Litoral (Besňs),0,701265,2011S007543,Dimecres,1,"431300,53",11,3,1,9,78,18,Desconegut
0062 0062,1,el Barri Gňtic,"4581319,16",0,0,Ciutat Vella,Laboral,12-1-2,2011,Novembre,Matí,Rambla,0,34308,2011S007475,Dilluns,0,"430946,91",11,1,1,7,79,10,Desconegut
0019 0019,1,el Barri Gňtic,"4581661,10",0,0,Ciutat Vella,Laboral,12-1-2,2011,Febrer,Tarda,Laietana,0,177101,2011S001173,Dissabte,0,"431362,36",2,6,1,19,80,17,Desconegut
0012 0012,1,el Barri Gňtic,"4581248,92",0,1,Ciutat Vella,Laboral,12-1-2,2011,Juliol,Matí,Colom,0,82901,2011S005129,Dimecres,1,"431482,05",7,3,1,27,81,13,Desconegut
0013 0013,2,el Barri Gňtic,"4581237,52",0,1,Ciutat Vella,Laboral,12-1-2,2011,Març,Matí,Colom,0,82901,2011S001594,Dimecres,1,"431475,31",3,3,1,9,82,9,Desconegut
0002 0002,1,el Raval,"4581461,15",0,1,Ciutat Vella,Laboral,11-1-1,2011,Abril,Matí,Ŕngels,0,16408,2011S002821,Dimecres,1,"430514,05",4,3,1,27,83,13,Creuar per fora pas de vianants
0087 0087,2,el Raval,"4581474,91",0,1,Ciutat Vella,Laboral,11-1-1,2011,Setembre,Matí,Rambla,0,34308,2011S005762,Dijous,1,"430803,01",9,4,1,1,84,13,Desconegut
0019 0019,2,el Barri Gňtic,"4581680,12",0,1,Ciutat Vella,Laboral,12-1-2,2011,Gener,Tarda,Jaume I,0,164802,2011S000179,Dimarts,1,"431299,76",1,2,1,11,85,14,Desconegut
0009 0009,1,el Raval,"4581783,25",0,1,Ciutat Vella,Laboral,11-1-1,2011,Setembre,Tarda,Valldonzella,0,352100,2011S006463,Dimarts,1,"430301,40",9,2,1,27,86,19,Desconegut
